n,b,m,k,num_docs,time_sec,mean_cosine,cosine_hamming
1000,4,64,0,12,0.5692987442016602,0.9931969046592712,1.0
1000,4,64,2,111,0.5690352916717529,0.9741070866584778,0.9966892940393205
1000,4,64,4,324,0.5690438747406006,0.9289754629135132,0.9874954378867484
1000,4,64,8,773,0.5691127777099609,0.8289964199066162,0.9463471373240858
1000,8,64,0,12,0.6299954652786255,0.9931969046592712,1.0
1000,8,64,2,111,0.6298075914382935,0.9741070866584778,0.9966892940393205
1000,8,64,4,334,0.6296178102493286,0.9262881278991699,0.9871520046297181
1000,8,64,8,908,0.6297539472579956,0.8161378502845764,0.93928480042224
10000,4,64,0,242,0.9583804607391357,0.9840033054351807,1.0
10000,4,64,2,1752,0.9580636024475098,0.9454718828201294,0.9963505665955764
10000,4,64,4,4555,0.9581611156463623,0.895689845085144,0.9855066244795888
10000,4,64,8,8804,0.9645919799804688,0.8173574209213257,0.9456629003674701
10000,8,64,0,242,5.004198491573334,0.9840033650398254,1.0
10000,8,64,2,1748,5.01985639333725,0.9460738897323608,0.9963613178571177
10000,8,64,4,4653,5.027004897594452,0.8960379958152771,0.9852782941752468
10000,8,64,8,9408,5.044676244258881,0.8104549050331116,0.9405939968171189
